listing_id	old_price	new_price	change_date	Details
279282	18000000	14900000	2016-03-30	Fireplace, Security system, Guest apartment, Air conditioning, Jacuzzi, Basement, Sauna, Built-in kitchen, Sea/lake view, Terrace, Waterfront, Swimming pool,  Garden
279284	13000000	15000000	2016-09-06	Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Sea/lake view, Built-in kitchen
279286	12500000	6500000	2017-06-21	Terrace Mountain view Patio Garden
279295	12000000	8500000	2017-03-10	Fireplace, Terrace, Guest apartment, Mountain view, Patio, Garden, Sea/lake view, Built-in kitchen
279299	9500000	8800000	2016-03-17	Fireplace, Terrace, Accessible for wheelchairs, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279299	8800000	7950000	2016-04-13	Fireplace, Terrace, Accessible for wheelchairs, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279299	7950000	8550000	2016-06-07	Fireplace, Terrace, Accessible for wheelchairs, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279304	10900000	8500000	2016-07-13	Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279313	9000000	10000000	2016-09-06	Fireplace, Air conditioning, Basement, Patio, Garden, Sea/lake view
279315	8900000	5500000	2016-02-27	Fireplace Terrace Mountain view Swimming pool Garden
279323	7950000	6500000	2017-06-20	Security system, Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279326	7900000	5500000	2016-10-28	Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna,  Lake view, Garden, Built-in kitchen
279327	6500000	5900000	2016-03-08	Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna,  Lake view, Garden, Built-in kitchen
279327	5900000	3900000	2016-08-24	Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna,  Lake view, Garden, Built-in kitchen
279327	3900000	4100000	2016-08-26	Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna,  Lake view, Garden, Built-in kitchen
279328	5900000	5100000	2017-01-14	Terrace, Waterfront, Jacuzzi, Air conditioning, Swimming pool, Sauna, Garden, Sea/lake view
279328	5100000	6100000	2017-05-03	Terrace, Waterfront, Jacuzzi, Air conditioning, Swimming pool, Sauna, Garden, Sea/lake view
279328	6100000	4100000	2017-05-09	Terrace, Waterfront, Jacuzzi, Air conditioning, Swimming pool, Sauna, Garden, Sea/lake view
279328	4100000	4450000	2017-06-06	Terrace, Waterfront, Jacuzzi, Air conditioning, Swimming pool, Sauna, Garden, Sea/lake view
279332	7200000	6500000	2016-07-29	Security system, Fireplace, Terrace, Guest apartment, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279335	6950000	5900000	2016-07-05	Fireplace, Security system, Accessible for wheelchairs, Air conditioning, Basement, Guest toilet, Sea/lake view, Built-in kitchen, Terrace, Elevator, Mountain view, Swimming pool, Garden, Balcony, Senior oriented
279344	6800000	6950000	2016-07-01	Security system, Fireplace, Air conditioning, Swimming pool, Sauna,  Tennis court, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279354	6000000	6500000	2016-06-28	Security system, Fireplace, Terrace, Accessible for wheelchairs, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279354	6500000	6800000	2017-02-01	Security system, Fireplace, Terrace, Accessible for wheelchairs, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279357	5250000	4995000	2016-06-14	Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool,  Garden, Built-in kitchen
279359	5950000	3950000	2017-03-07	Security system, Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279361	6500000	7800000	2016-04-29	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279361	7800000	6500000	2016-07-07	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279362	5100000	5500000	2016-02-20	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279362	5500000	6100000	2016-05-11	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279362	6100000	6000000	2016-06-14	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279362	6000000	5950000	2017-04-12	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279363	5500000	5900000	2016-02-20	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279366	5900000	3900000	2016-05-20	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279367	5850000	5500000	2016-03-05	Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279373	5500000	5100000	2017-03-10	Terrace, Swimming pool, Basement, Garden
279380	5350000	4950000	2016-01-20	Fireplace, Security system, Air conditioning, Basement, Patio, Sauna, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Waterfront, Swimming pool, Balcony
279394	4950000	3000000	2016-02-03	Security system, Fireplace, Elevator, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Balcony, Built-in kitchen
279394	3000000	3200000	2016-02-04	Security system, Fireplace, Elevator, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Balcony, Built-in kitchen
279401	4900000	5500000	2016-06-21	Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279406	4850000	4500000	2016-11-19	Golf course, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279410	4800000	4900000	2017-05-25	Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279411	4800000	3900000	2016-05-31	Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279415	4800000	4700000	2016-08-17	Security System Fireplace Elevator Terrace  jacuzzi Air conditioning Freight elevator Basement Sauna Garden Sea/lake view Built-in Kitchen
279416	4600000	4400000	2016-09-06	Fireplace, Terrace, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279421	4500000	4900000	2017-01-25	Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Patio, Garden, Sea/lake view, Built-in kitchen
279424	4500000	5300000	2017-04-11	Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Garden, Sea/lake view, Built-in kitchen
279425	4500000	3400000	2016-03-23	Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Garden, Sea/lake view, Built-in kitchen
279428	4500000	3985000	2017-04-12	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement, Sauna, Garden, Balcony, Sea/lake view, Built-in kitchen
279429	4500000	2900000	2016-09-29	Fireplace, Guest apartment, Air conditioning, Swimming pool, Patio, Garden, Built-in kitchen, Senior oriented
279432	4500000	4900000	2016-01-21	Security system, Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279435	4500000	3900000	2017-08-08	Fireplace Terrace Mountain view Swimming pool Basement Garden
279436	4500000	4490000	2016-06-12	Security system, Elevator, Terrace, Guest apartment, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279437	4450000	4400000	2016-06-18	Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Patio, Sauna, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Swimming pool,  Garden, Balcony
279438	4450000	3950000	2016-02-02	Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279438	3950000	3500000	2017-04-01	Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279442	4400000	3900000	2016-06-30	Terrace, Garden
279444	3900000	3690000	2016-04-07	Swimming pool, Basement, Guest toilet, Built-in kitchen
279450	3495000	3500000	2016-05-18	Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Sauna,  Garden, Sea/lake view, Built-in kitchen
279451	4250000	3500000	2016-01-30	Fireplace, Terrace, Waterfront, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279451	3500000	3200000	2016-05-05	Fireplace, Terrace, Waterfront, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279462	3995000	3900000	2017-04-06	Security system, Terrace, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279466	3950000	3500000	2016-12-08	Terrace, Jacuzzi, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
