listing_id;Details
279280;Fireplace, Guest apartment, Air conditioning, Patio, Guest toilet, Built-in kitchen, Terrace, Elevator, Mountain view, Swimming pool,  Tennis court, Garden, Senior oriented
279282;Fireplace, Security system, Guest apartment, Air conditioning, Jacuzzi, Basement, Sauna, Built-in kitchen, Sea/lake view, Terrace, Waterfront, Swimming pool,  Garden
279283;Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Elevator, Mountain view, Swimming pool,  Garden
279284;Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Sea/lake view, Built-in kitchen
279285;Fireplace, Security system, Helicopter pad, Guest apartment, Jacuzzi, Air conditioning, Basement, Patio, Sauna, Guest toilet, Built-in kitchen, Terrace, Elevator, Mountain view, Swimming pool,  Tennis court, Garden, Senior oriented
279286;Terrace Mountain view Patio Garden
279287;Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Sauna, Built-in kitchen, Sea/lake view, Terrace, Elevator, Mountain view, Swimming pool,  Garden
279290;Security system, Fireplace, Terrace, Guest apartment, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Built-in kitchen
279292;Security system, Terrace, Air conditioning, Swimming pool,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279295;Fireplace, Terrace, Guest apartment, Mountain view, Patio, Garden, Sea/lake view, Built-in kitchen
279297;Fireplace, Terrace, Accessible for wheelchairs, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279300;Terrace, Mountain view, Swimming pool, Basement, Tennis court, Garden, Sea/lake view
279301;Fireplace, Terrace, Guest apartment, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Garden, Sea/lake view, Built-in kitchen
279302;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Sauna,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279303;Fireplace, Security system, Guest apartment, Air conditioning, Basement, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Mountain view, Swimming pool,  Garden, Balcony
279304;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279305;Security system, Fireplace, Terrace, Patio
279307;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279309;Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Sauna,  Guest toilet, Sea/lake view, Built-in kitchen
279312;Terrace Waterfront Air conditioning Swimming pool Basement Garden Sea/lake view Built-in kitchen
279313;Fireplace, Air conditioning, Basement, Patio, Garden, Sea/lake view
279315;Fireplace Terrace Mountain view Swimming pool Garden
279319;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Garden, Balcony, Built-in kitchen
279321;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Patio, Tennis court, Attic, Garden, Built-in kitchen
279322;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio,  Garden, Balcony, Sea/lake view, Built-in kitchen
279323;Security system, Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279324;Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Elevator, Mountain view, Swimming pool, Garden, Balcony
279325;Security system, Fireplace, Terrace, Air conditioning, Swimming pool,  Tennis court, Garden, Sea/lake view, Built-in kitchen
279326;Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Sauna,  Lake view, Garden, Built-in kitchen
279328;Terrace, Waterfront, Jacuzzi, Air conditioning, Swimming pool, Sauna, Garden, Sea/lake view
279330;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Patio, Guest toilet, Garden, Built-in kitchen, Senior oriented
279331;Fireplace, Terrace, Guest apartment, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279332;Security system, Fireplace, Terrace, Guest apartment, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279335;Fireplace, Security system, Accessible for wheelchairs, Air conditioning, Basement, Guest toilet, Sea/lake view, Built-in kitchen, Terrace, Elevator, Mountain view, Swimming pool, Garden, Balcony, Senior oriented
279336;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Patio, Guest toilet, Garden, Balcony, Built-in kitchen
279338;Security system, Fireplace, Terrace, Waterfront, Air conditioning, Swimming pool, LANDINGSTAGE, Patio,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279340;Security system Terrace Air conditioning Swimming pool Guest toilet Garden Balcony Built-in kitchen
279342;Fireplace, Terrace, Waterfront, Air conditioning, Swimming pool, Garden, Sea/lake view
279343;Security system, Fireplace, Air conditioning, Swimming pool, Sauna,  Tennis court, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279345;Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Patio, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279347;Mountain view
279348;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Tennis court, Garden, Built-in kitchen
279351;Fireplace, Terrace, Guest apartment, Swimming pool, Guest toilet, Garden, Built-in kitchen
279352;Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Sauna,  Guest toilet, Garden, Built-in kitchen, Senior oriented
279354;Security system, Fireplace, Terrace, Accessible for wheelchairs, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279357;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool,  Garden, Built-in kitchen
279359;Security system, Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279361;Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279362;Security system, Fireplace, Elevator, Terrace, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279373;Terrace, Swimming pool, Basement, Garden
279376;Air conditioning
279377;Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Patio, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279379;Fireplace, Air conditioning, Swimming pool, Basement, Guest toilet, Sea/lake view, Built-in kitchen
279380;Fireplace, Security system, Air conditioning, Basement, Patio, Sauna, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Waterfront, Swimming pool, Balcony
279381;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Balcony, Sea/lake view
279384;Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Sea/lake view, Built-in kitchen
279385;Fireplace, Security system, Accessible for wheelchairs, Guest apartment, Jacuzzi, Air conditioning, Basement, Guest toilet, Sea/lake view, Built-in kitchen, Terrace, Elevator, Mountain view, Swimming pool, Tennis court, Garden, Senior oriented
279387;Fireplace, Security system, Guest apartment, Air conditioning, Jacuzzi, Built-in kitchen, Sea/lake view, Terrace, Waterfront, Swimming pool,  Garden, Balcony
279388;Security system, Fireplace, Elevator, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Balcony, Built-in kitchen
279396;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Patio, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279400;Security system, Fireplace, Elevator, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement,  Guest toilet, Sea/lake view, Built-in kitchen
279401;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279402;Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Patio, Built-in kitchen
279404;Terrace, Waterfront, Air conditioning, Basement, Patio, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279406;Golf course, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279409;Terrace Mountain view Swimming pool Garden Sea/lake view
279410;Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279414;Security System Fireplace Elevator Terrace  jacuzzi Air conditioning Freight elevator Basement Sauna Garden Sea/lake view Built-in Kitchen
279416;Fireplace, Terrace, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279417;Security system Fireplace Elevator Terrace Air conditioning Swimming pool Basement Sauna  Garden Sea/lake view Built-in kitchen
279419;Fireplace, Terrace, Guest apartment, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Garden, Balcony, Sea/lake view, Built-in kitchen
279420;Security system, Fireplace, Elevator, Terrace, Guest apartment, Jacuzzi, Air conditioning, Swimming pool, Patio, Sauna, Guest toilet, Garden, Built-in kitchen
279421;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Patio, Garden, Sea/lake view, Built-in kitchen
279422;Fireplace, Terrace, Guest apartment, Jacuzzi, Air conditioning, Swimming pool,  Garden, Sea/lake view, Built-in kitchen
279424;Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Garden, Sea/lake view, Built-in kitchen
279428;Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement, Sauna, Garden, Balcony, Sea/lake view, Built-in kitchen
279429;Fireplace, Guest apartment, Air conditioning, Swimming pool, Patio, Garden, Built-in kitchen, Senior oriented
279432;Security system, Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279435;Fireplace Terrace Mountain view Swimming pool Basement Garden
279436;Security system, Elevator, Terrace, Guest apartment, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279437;Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Patio, Sauna, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Swimming pool,  Garden, Balcony
279438;Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279442;Terrace, Garden
279443;Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279444;Swimming pool, Basement, Guest toilet, Built-in kitchen
279445;Security system, Terrace, Swimming pool, Basement, Guest toilet, Built-in kitchen
279447;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Sauna,  Garden, Balcony, Built-in kitchen
279448;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Attic, Garden
279450;Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Sauna,  Garden, Sea/lake view, Built-in kitchen
279451;Fireplace, Terrace, Waterfront, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279453;Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Patio, Garden, Built-in kitchen
279459;Fireplace, Elevator, Guest apartment, Air conditioning, Basement, Patio, Sauna, Guest toilet, Balcony, Built-in kitchen
279460;Terrace, Swimming pool, Patio, Garden
279462;Security system, Terrace, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279463;Fireplace, Terrace, Mountain view, Waterfront, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279466;Terrace, Jacuzzi, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
279467;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279468;Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Built-in kitchen
279469;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Basement, Patio, Tennis court, Guest toilet, Garden, Balcony
279471;Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279473;Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Freight Elevator, Sauna, Guest toilet, Sea/lake view, Built-in kitchen
279474;Security system Terrace Waterfront Air conditioning Swimming pool Basement Guest toilet Garden Balcony Sea/lake view Built-in kitchen
279475;Security system, Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Sea/lake view, Built-in kitchen
279477;Fireplace Terrace Air conditioning Swimming pool Patio Garden Sea/lake view Built-in kitchen
279479;Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Built-in kitchen
279480;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
